0_0: Azeb-opn5a
0_22035: mikado.HiC_scaffold_19.0G674.1
0_22036: mikado.HiC_scaffold_19.0G675.1
0_22037: mikado.HiC_scaffold_19.0G676.1
0_22038: mikado.HiC_scaffold_19.0G677.1
0_22039: mikado.HiC_scaffold_19.0G678.1
0_22040: mikado.HiC_scaffold_19.0G679.1
0_22041: mikado.HiC_scaffold_19.0G680.2
0_22042: mikado.HiC_scaffold_19.0G680.1
0_22043: mikado.HiC_scaffold_19.0G681.1
0_22044: mikado.HiC_scaffold_19.0G682.1
0_22045: mikado.HiC_scaffold_19.0G683.1
0_22046: mikado.HiC_scaffold_19.0G684.1
0_22047: mikado.HiC_scaffold_19.0G685.1
0_22048: mikado.HiC_scaffold_19.0G686.1
0_22049: mikado.HiC_scaffold_19.0G687.1
0_22050: mikado.HiC_scaffold_19.0G688.1
0_22051: mikado.HiC_scaffold_19.0G689.1
0_22052: mikado.HiC_scaffold_19.0G690.1
0_22053: mikado.HiC_scaffold_19.0G691.1
0_22054: mikado.HiC_scaffold_19.0G692.1
0_22055: mikado.HiC_scaffold_19.0G693.1
0_22056: mikado.HiC_scaffold_19.0G694.1
0_22057: mikado.HiC_scaffold_19.0G695.1
0_22058: mikado.HiC_scaffold_19.0G696.1
0_22059: mikado.HiC_scaffold_19.0G697.1
0_22060: mikado.HiC_scaffold_19.0G698.1
0_22061: mikado.HiC_scaffold_19.0G699.1
0_22062: mikado.HiC_scaffold_19.0G700.1
0_22063: mikado.HiC_scaffold_19.0G702.1
0_22064: mikado.HiC_scaffold_19.0G701.1
0_22065: mikado.HiC_scaffold_19.0G703.1
0_22066: mikado.HiC_scaffold_19.0G704.1
0_22067: mikado.HiC_scaffold_19.0G705.1
0_22068: mikado.HiC_scaffold_19.0G706.1
0_22069: mikado.HiC_scaffold_19.0G707.1
0_22070: mikado.HiC_scaffold_19.0G708.1
0_22071: mikado.HiC_scaffold_19.0G709.1
0_22072: mikado.HiC_scaffold_19.0G710.1
0_22073: mikado.HiC_scaffold_19.0G711.1
0_22074: mikado.HiC_scaffold_19.0G712.1
0_22075: mikado.HiC_scaffold_19.0G713.1
0_22076: mikado.HiC_scaffold_19.0G714.1
0_22077: mikado.HiC_scaffold_19.0G715.1
0_22078: mikado.HiC_scaffold_19.0G715.2
0_22079: mikado.HiC_scaffold_19.0G716.1
0_22080: mikado.HiC_scaffold_19.0G717.1
0_22081: mikado.HiC_scaffold_19.0G718.1
0_22082: mikado.HiC_scaffold_19.0G719.1
0_22083: mikado.HiC_scaffold_19.0G720.1
0_22084: mikado.HiC_scaffold_19.0G721.1
0_22085: mikado.HiC_scaffold_19.0G722.1
0_22086: mikado.HiC_scaffold_19.0G723.1
0_22087: mikado.HiC_scaffold_19.0G724.1
0_22088: mikado.HiC_scaffold_19.0G725.1
0_22089: mikado.HiC_scaffold_19.0G726.1
0_22090: mikado.HiC_scaffold_19.0G727.1
0_22091: mikado.HiC_scaffold_19.0G728.1
0_22092: mikado.HiC_scaffold_19.0G729.1
0_22093: mikado.HiC_scaffold_19.0G730.1
0_22094: mikado.HiC_scaffold_19.0G731.1
0_22095: mikado.HiC_scaffold_19.0G731.2
0_22096: mikado.HiC_scaffold_19.0G732.1
0_22097: mikado.HiC_scaffold_19.0G733.1
0_22098: mikado.HiC_scaffold_19.0G734.1
0_22099: mikado.HiC_scaffold_19.0G735.1
0_22100: mikado.HiC_scaffold_19.0G736.1
0_22101: mikado.HiC_scaffold_19.0G737.1
0_22102: mikado.HiC_scaffold_19.0G738.1
0_22103: mikado.HiC_scaffold_19.0G739.1
0_22104: mikado.HiC_scaffold_19.0G740.1
0_22105: mikado.HiC_scaffold_19.0G741.1
0_22106: mikado.HiC_scaffold_19.0G742.1
0_22107: mikado.HiC_scaffold_19.0G743.1
0_22108: mikado.HiC_scaffold_19.0G744.1
0_22109: mikado.HiC_scaffold_19.0G745.1
0_22110: mikado.HiC_scaffold_19.0G746.1
0_22111: mikado.HiC_scaffold_19.0G747.1
0_22112: mikado.HiC_scaffold_19.0G748.1
0_22113: mikado.HiC_scaffold_19.0G749.1
0_22114: mikado.HiC_scaffold_19.0G750.1
0_22115: mikado.HiC_scaffold_19.0G751.1
0_22116: mikado.HiC_scaffold_19.0G752.1
0_22117: mikado.HiC_scaffold_19.0G753.1
0_22118: mikado.HiC_scaffold_19.0G754.1
0_22119: mikado.HiC_scaffold_19.0G755.1
0_22120: mikado.HiC_scaffold_19.0G756.1
0_22121: mikado.HiC_scaffold_19.0G757.1
0_22122: mikado.HiC_scaffold_19.0G758.1
0_22123: mikado.HiC_scaffold_19.0G760.1
0_22124: mikado.HiC_scaffold_19.0G761.1
0_22125: mikado.HiC_scaffold_19.0G762.1
0_22126: mikado.HiC_scaffold_19.0G763.1
0_22127: mikado.HiC_scaffold_19.0G764.1
0_22128: mikado.HiC_scaffold_19.0G765.1
0_22129: mikado.HiC_scaffold_19.0G767.1
0_22130: mikado.HiC_scaffold_19.0G768.1
0_22131: mikado.HiC_scaffold_19.0G769.1
0_22132: mikado.HiC_scaffold_19.0G770.1
0_22133: mikado.HiC_scaffold_19.0G771.1
0_22134: mikado.HiC_scaffold_19.0G772.1
0_22135: mikado.HiC_scaffold_19.0G773.1
0_22136: mikado.HiC_scaffold_19.0G774.1
0_22137: mikado.HiC_scaffold_19.0G775.1
0_22138: mikado.HiC_scaffold_19.0G776.1
0_22139: mikado.HiC_scaffold_19.0G777.1
0_22140: mikado.HiC_scaffold_19.0G778.1
0_22141: mikado.HiC_scaffold_19.0G779.1
0_22142: mikado.HiC_scaffold_19.0G780.1
0_22143: mikado.HiC_scaffold_19.0G781.1
0_22144: mikado.HiC_scaffold_19.0G784.1
0_22145: mikado.HiC_scaffold_19.0G785.1
0_22146: mikado.HiC_scaffold_19.0G786.1
0_22147: mikado.HiC_scaffold_19.0G787.1
0_22148: mikado.HiC_scaffold_19.0G788.1
0_22149: mikado.HiC_scaffold_19.0G789.1
0_22150: mikado.HiC_scaffold_19.0G790.1
0_22151: mikado.HiC_scaffold_19.0G791.1
0_22152: mikado.HiC_scaffold_19.0G792.1
0_22153: mikado.HiC_scaffold_19.0G793.1
0_22154: mikado.HiC_scaffold_19.0G793.2
0_22155: mikado.HiC_scaffold_19.0G794.1
0_22156: mikado.HiC_scaffold_19.0G795.1
0_22157: mikado.HiC_scaffold_19.0G796.1
0_22158: mikado.HiC_scaffold_19.0G797.1
0_22159: mikado.HiC_scaffold_19.0G798.1
0_22160: mikado.HiC_scaffold_19.0G799.1
0_22161: mikado.HiC_scaffold_19.0G800.1
0_22162: mikado.HiC_scaffold_19.0G801.1
0_22163: mikado.HiC_scaffold_19.0G802.1
0_22164: mikado.HiC_scaffold_19.0G803.1
0_22165: mikado.HiC_scaffold_19.0G804.1
0_22166: mikado.HiC_scaffold_19.0G805.1
0_22167: mikado.HiC_scaffold_19.0G806.1
0_22168: mikado.HiC_scaffold_19.0G807.1
0_22169: mikado.HiC_scaffold_19.0G808.1
0_22170: mikado.HiC_scaffold_19.0G809.1
0_22171: mikado.HiC_scaffold_19.0G810.1
0_22172: mikado.HiC_scaffold_19.0G812.1
0_22173: mikado.HiC_scaffold_19.0G813.1
0_22174: mikado.HiC_scaffold_19.0G814.1
0_22175: mikado.HiC_scaffold_19.0G815.1
0_22176: mikado.HiC_scaffold_19.0G816.1
0_22177: mikado.HiC_scaffold_19.0G817.1
0_22178: mikado.HiC_scaffold_19.0G817.2
0_22179: mikado.HiC_scaffold_19.0G818.1
0_22180: mikado.HiC_scaffold_19.0G819.1
0_22181: mikado.HiC_scaffold_19.0G820.1
0_22182: mikado.HiC_scaffold_19.0G821.1
0_22183: mikado.HiC_scaffold_19.0G822.1
0_22184: mikado.HiC_scaffold_19.0G823.1
0_22185: mikado.HiC_scaffold_19.0G824.1
0_22186: mikado.HiC_scaffold_19.0G825.1
0_22187: mikado.HiC_scaffold_19.0G826.1
0_22188: mikado.HiC_scaffold_19.0G827.1
0_22189: mikado.HiC_scaffold_19.0G827.2
0_22190: mikado.HiC_scaffold_19.0G828.1
0_22191: mikado.HiC_scaffold_19.0G829.1
0_22192: mikado.HiC_scaffold_19.0G831.1
0_22193: mikado.HiC_scaffold_19.0G831.3
0_22194: mikado.HiC_scaffold_19.0G830.1
0_22195: mikado.HiC_scaffold_19.0G832.1
0_22196: mikado.HiC_scaffold_19.0G833.1
0_22197: mikado.HiC_scaffold_19.0G834.1
0_22198: mikado.HiC_scaffold_19.0G835.1
0_22199: mikado.HiC_scaffold_19.0G836.1
0_22200: mikado.HiC_scaffold_19.0G837.1
0_22201: mikado.HiC_scaffold_19.0G839.1
0_22202: mikado.HiC_scaffold_19.0G838.1
0_22203: mikado.HiC_scaffold_19.0G840.1
0_22204: mikado.HiC_scaffold_19.0G841.1
0_22205: mikado.HiC_scaffold_19.0G843.1
0_22206: mikado.HiC_scaffold_19.0G844.1
0_22207: mikado.HiC_scaffold_19.0G845.1
0_22208: mikado.HiC_scaffold_19.0G846.1
0_22209: mikado.HiC_scaffold_19.0G847.1
0_22210: mikado.HiC_scaffold_19.0G848.1
0_22211: mikado.HiC_scaffold_19.0G849.1
0_22212: mikado.HiC_scaffold_19.0G851.1
0_22213: mikado.HiC_scaffold_19.0G850.1
0_22214: mikado.HiC_scaffold_19.0G852.1
0_22215: mikado.HiC_scaffold_19.0G853.1
0_22216: mikado.HiC_scaffold_19.0G854.1
0_22217: mikado.HiC_scaffold_19.0G855.1
0_22218: mikado.HiC_scaffold_19.0G856.1
0_22219: mikado.HiC_scaffold_19.0G857.1
0_22220: mikado.HiC_scaffold_19.0G858.1
0_22221: mikado.HiC_scaffold_19.0G859.1
0_22222: mikado.HiC_scaffold_19.0G860.1
0_22223: mikado.HiC_scaffold_19.0G861.1
0_22224: mikado.HiC_scaffold_19.0G862.1
0_22225: mikado.HiC_scaffold_19.0G863.1
0_22226: mikado.HiC_scaffold_19.0G864.1
0_22227: mikado.HiC_scaffold_19.0G865.1
0_22228: mikado.HiC_scaffold_19.0G866.1
0_22229: mikado.HiC_scaffold_19.0G867.1
0_22230: mikado.HiC_scaffold_19.0G868.1
0_22231: mikado.HiC_scaffold_19.0G869.1
0_22232: mikado.HiC_scaffold_19.0G870.1
0_22233: mikado.HiC_scaffold_19.0G871.1
0_22234: mikado.HiC_scaffold_19.0G872.1
0_22235: mikado.HiC_scaffold_19.0G873.1
0_22236: mikado.HiC_scaffold_19.0G874.1
0_22237: mikado.HiC_scaffold_19.0G875.1
0_22238: mikado.HiC_scaffold_19.0G876.1
0_22239: mikado.HiC_scaffold_19.0G877.1
0_22240: mikado.HiC_scaffold_19.0G878.1
0_22241: mikado.HiC_scaffold_19.0G879.1
0_22242: mikado.HiC_scaffold_19.0G880.1
0_22243: mikado.HiC_scaffold_19.0G881.1
0_22244: mikado.HiC_scaffold_19.0G882.1
0_22245: mikado.HiC_scaffold_19.0G883.1
0_22246: mikado.HiC_scaffold_19.0G884.1
0_22247: mikado.HiC_scaffold_19.0G885.1
0_22248: mikado.HiC_scaffold_19.0G886.1
0_22249: mikado.HiC_scaffold_19.0G887.1
0_22250: mikado.HiC_scaffold_19.0G888.1
0_22251: mikado.HiC_scaffold_19.0G889.1
0_22252: mikado.HiC_scaffold_19.0G890.1
0_22253: mikado.HiC_scaffold_19.0G891.1
0_22254: mikado.HiC_scaffold_19.0G892.1
0_22255: mikado.HiC_scaffold_19.0G893.1
0_22256: mikado.HiC_scaffold_19.0G895.1
0_22257: mikado.HiC_scaffold_19.0G896.1
0_22258: mikado.HiC_scaffold_19.0G897.1
0_22259: mikado.HiC_scaffold_19.0G898.1
0_22260: mikado.HiC_scaffold_19.0G899.1
0_22261: mikado.HiC_scaffold_19.0G900.1
0_22262: mikado.HiC_scaffold_19.0G901.1
0_22263: mikado.HiC_scaffold_19.0G902.1
0_22264: mikado.HiC_scaffold_19.0G903.1
0_22265: mikado.HiC_scaffold_19.0G904.1
0_22266: mikado.HiC_scaffold_19.0G905.1
0_22267: mikado.HiC_scaffold_19.0G906.1
0_22268: mikado.HiC_scaffold_19.0G907.1
0_22269: mikado.HiC_scaffold_19.0G908.1
0_22270: mikado.HiC_scaffold_19.0G909.1
0_22271: mikado.HiC_scaffold_19.0G910.1
0_22272: mikado.HiC_scaffold_19.0G911.1
0_22273: mikado.HiC_scaffold_19.0G912.1
0_22274: mikado.HiC_scaffold_19.0G913.1
0_22275: mikado.HiC_scaffold_19.0G914.1
0_22276: mikado.HiC_scaffold_19.0G915.1
0_22277: mikado.HiC_scaffold_19.0G917.1
0_22278: mikado.HiC_scaffold_19.0G916.1
0_22279: mikado.HiC_scaffold_19.0G919.1
0_22280: mikado.HiC_scaffold_19.0G921.1
0_22281: mikado.HiC_scaffold_19.0G920.1
0_22282: mikado.HiC_scaffold_19.0G922.1
0_22283: mikado.HiC_scaffold_19.0G923.1
0_22284: mikado.HiC_scaffold_19.0G924.1
0_22285: mikado.HiC_scaffold_19.0G925.1
0_22286: mikado.HiC_scaffold_19.0G926.1
0_22287: mikado.HiC_scaffold_19.0G927.1
0_22288: mikado.HiC_scaffold_19.0G928.1
0_22289: mikado.HiC_scaffold_19.0G929.1
0_22290: mikado.HiC_scaffold_19.0G930.1
0_22291: mikado.HiC_scaffold_19.0G931.1
0_22292: mikado.HiC_scaffold_19.0G932.1
0_22293: mikado.HiC_scaffold_19.0G933.1
0_22294: mikado.HiC_scaffold_19.0G934.1
0_22295: mikado.HiC_scaffold_19.0G935.1
0_22296: mikado.HiC_scaffold_19.0G936.1
0_22297: mikado.HiC_scaffold_19.0G937.1
0_22298: mikado.HiC_scaffold_19.0G938.1
0_22299: mikado.HiC_scaffold_19.0G939.1
0_22300: mikado.HiC_scaffold_19.0G940.1
0_22301: mikado.HiC_scaffold_19.0G941.1
0_22302: mikado.HiC_scaffold_19.0G942.1
0_22303: mikado.HiC_scaffold_19.0G943.1
0_22304: mikado.HiC_scaffold_19.0G944.1
0_22305: mikado.HiC_scaffold_19.0G945.1
0_22306: mikado.HiC_scaffold_19.0G946.1
0_22307: mikado.HiC_scaffold_19.0G947.1
0_22308: mikado.HiC_scaffold_19.0G948.1
0_22309: mikado.HiC_scaffold_19.0G949.1
0_22310: mikado.HiC_scaffold_19.0G950.1
0_22311: mikado.HiC_scaffold_19.0G951.1
0_22312: mikado.HiC_scaffold_19.0G952.1
0_22313: mikado.HiC_scaffold_19.0G953.1
0_22314: mikado.HiC_scaffold_19.0G954.1
0_22315: mikado.HiC_scaffold_19.0G955.1
0_22316: mikado.HiC_scaffold_19.0G956.1
0_22317: mikado.HiC_scaffold_19.0G957.1
0_22318: mikado.HiC_scaffold_19.0G958.1
0_22319: mikado.HiC_scaffold_19.0G959.1
0_22320: mikado.HiC_scaffold_19.0G960.1
0_22321: mikado.HiC_scaffold_19.0G961.1
0_22322: mikado.HiC_scaffold_19.0G962.2
0_22323: mikado.HiC_scaffold_19.0G962.1
0_22324: mikado.HiC_scaffold_19.0G963.1
0_22325: mikado.HiC_scaffold_19.0G964.1
0_22326: mikado.HiC_scaffold_19.0G965.1
0_22327: mikado.HiC_scaffold_19.0G966.1
0_22328: mikado.HiC_scaffold_19.0G967.1
0_22329: mikado.HiC_scaffold_19.0G968.1
0_22330: mikado.HiC_scaffold_19.0G969.1
0_22331: mikado.HiC_scaffold_19.0G970.1
0_22332: mikado.HiC_scaffold_19.0G971.1
0_22333: mikado.HiC_scaffold_19.0G971.2
0_22334: mikado.HiC_scaffold_19.0G972.1
0_22335: mikado.HiC_scaffold_19.0G973.1
0_22336: mikado.HiC_scaffold_19.0G974.1
0_22337: mikado.HiC_scaffold_19.0G975.1
0_22338: mikado.HiC_scaffold_19.0G976.1
0_22339: mikado.HiC_scaffold_19.0G977.1
0_22340: mikado.HiC_scaffold_19.0G978.1
0_22341: mikado.HiC_scaffold_19.0G979.1
0_22342: mikado.HiC_scaffold_19.0G980.1
0_22343: mikado.HiC_scaffold_19.0G981.1
0_22344: mikado.HiC_scaffold_19.0G983.1
0_22345: mikado.HiC_scaffold_19.0G984.1
0_22346: mikado.HiC_scaffold_19.0G985.1
0_22347: mikado.HiC_scaffold_19.0G986.1
0_22348: mikado.HiC_scaffold_19.0G989.1
0_22349: mikado.HiC_scaffold_19.0G989.2
0_22350: mikado.HiC_scaffold_19.0G990.1
0_22351: mikado.HiC_scaffold_19.0G991.1
0_22352: mikado.HiC_scaffold_19.0G992.1
0_22353: mikado.HiC_scaffold_19.0G993.1
0_22354: mikado.HiC_scaffold_19.0G994.1
0_22355: mikado.HiC_scaffold_19.0G995.1
0_22356: mikado.HiC_scaffold_19.0G996.1
0_22357: mikado.HiC_scaffold_19.0G997.1
0_22358: mikado.HiC_scaffold_19.0G998.1
0_22359: mikado.HiC_scaffold_19.0G999.1
0_22360: mikado.HiC_scaffold_19.0G1000.1
0_22361: mikado.HiC_scaffold_19.0G1001.1
0_22362: mikado.HiC_scaffold_19.0G1002.1
0_22363: mikado.HiC_scaffold_19.0G1003.1
0_22364: mikado.HiC_scaffold_19.0G1004.1
0_22365: mikado.HiC_scaffold_19.0G1005.1
0_22366: mikado.HiC_scaffold_19.0G1006.1
0_22367: mikado.HiC_scaffold_19.0G1007.1
0_22368: mikado.HiC_scaffold_19.0G1007.2
0_22369: mikado.HiC_scaffold_19.0G1009.1
0_22370: mikado.HiC_scaffold_19.0G1008.1
0_22371: mikado.HiC_scaffold_19.0G1010.1
0_22372: mikado.HiC_scaffold_19.0G1011.1
0_22373: mikado.HiC_scaffold_19.0G1012.1
0_22374: mikado.HiC_scaffold_19.0G1013.1
0_22375: mikado.HiC_scaffold_19.0G1014.1
0_22376: mikado.HiC_scaffold_19.0G1015.1
0_22377: mikado.HiC_scaffold_19.0G1016.1
0_22378: mikado.HiC_scaffold_19.0G1017.1
0_22379: mikado.HiC_scaffold_19.0G1018.1
0_22380: mikado.HiC_scaffold_19.0G1019.1
0_22381: mikado.HiC_scaffold_19.0G1020.1
0_22382: mikado.HiC_scaffold_19.0G1021.1
0_22383: mikado.HiC_scaffold_19.0G1022.1
0_22384: mikado.HiC_scaffold_19.0G1023.1
0_22385: mikado.HiC_scaffold_19.0G1024.1
0_22386: mikado.HiC_scaffold_19.0G1025.1
0_22387: mikado.HiC_scaffold_19.0G1026.1
0_22388: mikado.HiC_scaffold_19.0G1027.1
0_22389: mikado.HiC_scaffold_19.0G1028.1
0_22390: mikado.HiC_scaffold_19.0G1030.1
0_22391: mikado.HiC_scaffold_19.0G1030.3
0_22392: mikado.HiC_scaffold_19.0G1029.1
0_22393: mikado.HiC_scaffold_19.0G1031.1
0_22394: mikado.HiC_scaffold_19.0G1032.1
0_22395: mikado.HiC_scaffold_19.0G1033.1
0_22396: mikado.HiC_scaffold_19.0G1034.1
0_22397: mikado.HiC_scaffold_19.0G1035.1
0_22398: mikado.HiC_scaffold_19.0G1036.1
0_22399: mikado.HiC_scaffold_19.0G1037.1
0_22400: mikado.HiC_scaffold_19.0G1038.1
0_22401: mikado.HiC_scaffold_19.0G1041.1
0_22402: mikado.HiC_scaffold_19.0G1040.1
0_22403: mikado.HiC_scaffold_19.0G1042.1
0_22404: mikado.HiC_scaffold_19.0G1044.1
0_22405: mikado.HiC_scaffold_19.0G1045.1
0_22406: mikado.HiC_scaffold_19.0G1043.1
0_22407: mikado.HiC_scaffold_19.0G1047.1
0_22408: mikado.HiC_scaffold_19.0G1046.1
0_22409: mikado.HiC_scaffold_19.0G1048.1
0_22410: mikado.HiC_scaffold_19.0G1049.1
0_22411: mikado.HiC_scaffold_19.0G1050.1
0_22412: mikado.HiC_scaffold_19.0G1051.1
0_22413: mikado.HiC_scaffold_19.0G1052.1
0_22414: mikado.HiC_scaffold_19.0G1053.1
0_22415: mikado.HiC_scaffold_19.0G1054.1
0_22416: mikado.HiC_scaffold_19.0G1055.1
0_22417: mikado.HiC_scaffold_19.0G1056.1
0_22418: mikado.HiC_scaffold_19.0G1057.1
0_22419: mikado.HiC_scaffold_19.0G1058.1
0_22420: mikado.HiC_scaffold_19.0G1059.1
0_22421: mikado.HiC_scaffold_19.0G1060.1
0_22422: mikado.HiC_scaffold_19.0G1061.1
0_22423: mikado.HiC_scaffold_19.0G1062.1
0_22424: mikado.HiC_scaffold_19.0G1063.1
0_22425: mikado.HiC_scaffold_19.0G1064.1
0_22426: mikado.HiC_scaffold_19.0G1065.1
0_22427: mikado.HiC_scaffold_19.0G1066.1
0_22428: mikado.HiC_scaffold_19.0G1068.1
0_22429: mikado.HiC_scaffold_19.0G1067.1
0_22430: mikado.HiC_scaffold_19.0G1069.1
0_22431: mikado.HiC_scaffold_19.0G1071.1
0_22432: mikado.HiC_scaffold_19.0G1070.1
0_22433: mikado.HiC_scaffold_19.0G1072.1
0_22434: mikado.HiC_scaffold_19.0G1073.1
0_22435: mikado.HiC_scaffold_19.0G1074.1
0_22436: mikado.HiC_scaffold_19.0G1075.1
0_22437: mikado.HiC_scaffold_19.0G1076.1
0_22438: mikado.HiC_scaffold_19.0G1078.1
0_22439: mikado.HiC_scaffold_19.0G1077.1
0_22440: mikado.HiC_scaffold_19.0G1079.1
0_22441: mikado.HiC_scaffold_19.0G1080.1
0_22442: mikado.HiC_scaffold_19.0G1081.1
0_22443: mikado.HiC_scaffold_19.0G1082.1
0_22444: mikado.HiC_scaffold_19.0G1083.1
0_22445: mikado.HiC_scaffold_19.0G1084.1
0_22446: mikado.HiC_scaffold_19.0G1085.1
0_22447: mikado.HiC_scaffold_19.0G1085.2
0_22448: mikado.HiC_scaffold_19.0G1086.1
0_22449: mikado.HiC_scaffold_19.0G1087.1
0_22450: mikado.HiC_scaffold_19.0G1088.1
0_22451: mikado.HiC_scaffold_19.0G1089.1
0_22452: mikado.HiC_scaffold_19.0G1090.1
0_22453: mikado.HiC_scaffold_19.0G1092.1
0_22454: mikado.HiC_scaffold_19.0G1091.1
0_22455: mikado.HiC_scaffold_19.0G1093.1
0_22456: mikado.HiC_scaffold_19.0G1094.1
0_22457: mikado.HiC_scaffold_19.0G1094.2
0_22458: mikado.HiC_scaffold_19.0G1095.1
0_22459: mikado.HiC_scaffold_19.0G1096.1
0_22460: mikado.HiC_scaffold_19.0G1097.1
0_22461: mikado.HiC_scaffold_19.0G1098.1
0_22462: mikado.HiC_scaffold_19.0G1099.1
0_22463: mikado.HiC_scaffold_19.0G1100.1
0_22464: mikado.HiC_scaffold_19.0G1101.1
0_22465: mikado.HiC_scaffold_19.0G1102.1
0_22466: mikado.HiC_scaffold_19.0G1103.1
0_22467: mikado.HiC_scaffold_19.0G1104.1
0_22468: mikado.HiC_scaffold_19.0G1105.1
0_22469: mikado.HiC_scaffold_19.0G1106.1
0_22470: mikado.HiC_scaffold_19.0G1107.1
0_22471: mikado.HiC_scaffold_19.0G1108.1
0_22472: mikado.HiC_scaffold_19.0G1109.1
0_22473: mikado.HiC_scaffold_19.0G1110.1
0_22474: mikado.HiC_scaffold_19.0G1111.1
0_22475: mikado.HiC_scaffold_19.0G1112.1
0_22476: mikado.HiC_scaffold_19.0G1113.1
0_22477: mikado.HiC_scaffold_19.0G1114.1
0_22478: mikado.HiC_scaffold_19.0G1115.1
0_22479: mikado.HiC_scaffold_19.0G1116.1
0_22480: mikado.HiC_scaffold_19.0G1117.1
0_22481: mikado.HiC_scaffold_19.0G1118.1
0_22482: mikado.HiC_scaffold_19.0G1121.1
0_22483: mikado.HiC_scaffold_19.0G1122.1
0_22484: mikado.HiC_scaffold_19.0G1123.1
0_22485: mikado.HiC_scaffold_19.0G1124.1
0_22486: mikado.HiC_scaffold_19.0G1125.1
0_22487: mikado.HiC_scaffold_19.0G1126.1
0_22488: mikado.HiC_scaffold_19.0G1127.1
0_22489: mikado.HiC_scaffold_19.0G1128.1
0_22490: mikado.HiC_scaffold_19.0G1130.1
0_22491: mikado.HiC_scaffold_19.0G1131.1
0_22492: mikado.HiC_scaffold_19.0G1132.1
0_22493: mikado.HiC_scaffold_19.0G1133.1
0_22494: mikado.HiC_scaffold_19.0G1134.1
0_22495: mikado.HiC_scaffold_19.0G1135.1
0_22496: mikado.HiC_scaffold_19.0G1136.1
0_22497: mikado.HiC_scaffold_19.0G1137.1
0_22498: mikado.HiC_scaffold_19.0G1138.1
0_22499: mikado.HiC_scaffold_19.0G1139.1
0_22500: mikado.HiC_scaffold_19.0G1140.1
0_22501: mikado.HiC_scaffold_19.0G1141.1
0_22502: mikado.HiC_scaffold_19.0G1142.1
0_22503: mikado.HiC_scaffold_19.0G1143.1
0_22504: mikado.HiC_scaffold_19.0G1144.1
0_22505: mikado.HiC_scaffold_19.0G1145.1
0_22506: mikado.HiC_scaffold_19.0G1146.1
0_22507: mikado.HiC_scaffold_19.0G1147.1
0_22508: mikado.HiC_scaffold_19.0G1148.1
0_22509: mikado.HiC_scaffold_19.0G1149.1
0_22510: mikado.HiC_scaffold_19.0G1150.1
0_22511: mikado.HiC_scaffold_19.0G1151.1
0_22512: mikado.HiC_scaffold_19.0G1152.1
0_22513: mikado.HiC_scaffold_19.0G1153.1
0_22514: mikado.HiC_scaffold_19.0G1154.1
0_22515: mikado.HiC_scaffold_19.0G1155.1
0_22516: mikado.HiC_scaffold_19.0G1156.1
0_22517: mikado.HiC_scaffold_19.0G1157.1
0_22518: mikado.HiC_scaffold_19.0G1158.1
0_22519: mikado.HiC_scaffold_19.0G1159.1
0_22520: mikado.HiC_scaffold_19.0G1160.1
0_22521: mikado.HiC_scaffold_19.0G1161.1
0_22522: mikado.HiC_scaffold_19.0G1162.1
0_22523: mikado.HiC_scaffold_19.0G1163.1
0_22524: mikado.HiC_scaffold_19.0G1164.1
0_22525: mikado.HiC_scaffold_19.0G1165.1
0_22526: mikado.HiC_scaffold_19.0G1168.1
0_22527: mikado.HiC_scaffold_19.0G1169.1
0_22528: mikado.HiC_scaffold_19.0G1170.1
0_22529: mikado.HiC_scaffold_19.0G1171.1
0_22530: mikado.HiC_scaffold_19.0G1172.1
0_22531: mikado.HiC_scaffold_19.0G1173.1
0_22532: mikado.HiC_scaffold_19.0G1174.1
0_22533: mikado.HiC_scaffold_19.0G1175.1
0_22534: mikado.HiC_scaffold_19.0G1176.1
0_22535: mikado.HiC_scaffold_19.0G1177.1
0_22536: mikado.HiC_scaffold_19.0G1178.1
0_22537: mikado.HiC_scaffold_19.0G1179.1
0_22538: mikado.HiC_scaffold_19.0G1180.1
0_22539: mikado.HiC_scaffold_19.0G1181.1
0_22540: mikado.HiC_scaffold_19.0G1182.1
0_22541: mikado.HiC_scaffold_19.0G1183.1
0_22542: mikado.HiC_scaffold_19.0G1184.1
0_22543: mikado.HiC_scaffold_19.0G1184.2
0_22544: mikado.HiC_scaffold_19.0G1185.2
0_22545: mikado.HiC_scaffold_19.0G1185.1
0_22546: mikado.HiC_scaffold_19.0G1186.1
0_22547: mikado.HiC_scaffold_19.0G1187.1
0_22548: mikado.HiC_scaffold_19.0G1188.1
0_22549: mikado.HiC_scaffold_19.0G1189.1
0_22550: mikado.HiC_scaffold_19.0G1190.1
0_22551: mikado.HiC_scaffold_19.0G1191.1
0_22552: mikado.HiC_scaffold_19.0G1192.1
0_22553: mikado.HiC_scaffold_19.0G1193.1
0_22554: mikado.HiC_scaffold_19.0G1194.1
0_22555: mikado.HiC_scaffold_19.0G1195.1
0_22556: mikado.HiC_scaffold_19.0G1196.1
0_22557: mikado.HiC_scaffold_19.0G1197.1
0_22558: mikado.HiC_scaffold_19.0G1197.2
0_22559: mikado.HiC_scaffold_19.0G1198.1
0_22560: mikado.HiC_scaffold_19.0G1199.1
0_22561: mikado.HiC_scaffold_19.0G1200.1
0_22562: mikado.HiC_scaffold_19.0G1201.1
0_22563: mikado.HiC_scaffold_19.0G1202.1
0_22564: mikado.HiC_scaffold_19.0G1203.1
